Direction,Protocol,Port,Namespace,Service,Pod,Container,Node Role,Optional
Ingress,TCP,53,openshift-dns,dns-default,dns-default,dns,master,FALSE
Ingress,TCP,80,openshift-ingress,router-internal-default,router-default,router,master,FALSE
Ingress,TCP,443,openshift-ingress,router-internal-default,router-default,router,master,FALSE
Ingress,TCP,1936,openshift-ingress,router-internal-default,router-default,router,master,FALSE
Ingress,UDP,53,openshift-dns,dns-default,dns-default,dns,master,FALSE
Ingress,UDP,68,,dhcp-client,,,master,TRUE
